   10.000000000000000        2.0000000000000000E-003        5001
  -2.7300690313101366       -6.6566413739254093        12.867809538963382       -94.810030659697730     
  -2.7433316013000768       -6.6063078561374722        12.673050454548029       -92.240519111719266     
  -2.7564942627346865       -6.5567225405486207        12.483623291981161       -89.767456940004209     
  -2.7695584914622713       -6.5078652568639761        12.299325940767769       -87.386238273312600     
  -2.7825257237621424       -6.4597165879601848        12.119966036283625       -85.092524304553052     
  -2.7953973578141120       -6.4122578341067049        11.945360384901793       -82.882222918190251     
  -2.8081747550985692       -6.3654709792421160        11.775334442742924       -80.751474756945996     
  -2.8208592417310805       -6.3193386591682277        11.609721814742624       -78.696635513741953     
  -2.8334521097352421       -6.2738441315354221        11.448363799126948       -76.714263219646028     
  -2.8459546182572222       -6.2289712474975500        11.291108956590357       -74.801105170996252     
  -2.8583679947252323       -6.1847044249332406        11.137812704453687       -72.954084273657571     
  -2.8706934359569551       -6.1410286231267097        10.988336948236643       -71.170290438793415     
  -2.8829321092177391       -6.0979293188190287        10.842549720668782       -69.446967093655942     
  -2.8950851532322313       -6.0553924835414774        10.700324861223631       -67.781504464736742     
  -2.9071536791519050       -6.0134045621501597        10.561541699427579       -66.171428031447377     
  -2.9191387714808319       -5.9719524524888268        10.426084771808508       -64.614392253359298     
  -2.9310414889618603       -5.9310234861086331        10.293843545339243       -63.108171272086004     
  -2.9428628654252664       -5.8906054099825411        10.164712165638967       -61.650652694034129     
  -2.9546039106017905       -5.8506863691523137        10.038589215222160       -60.239830179664715     
  -2.9662656109018757       -5.8112548902535810        9.9153774905103020       -58.873798003400417     
  -2.9778489301628048       -5.7722998658675806        9.7949837866706524       -57.550744086976017     
  -2.9893548103653460       -5.7338105396499417        9.6773187006071737       -56.268945142212701     
  -3.0007841723214046       -5.6957764921892196        9.5622964446095970       -55.026762285637076     
  -3.0121379163341029       -5.6581876275582088        9.4498346650540022       -53.822634793476709     
  -3.0234169228316374       -5.6210341605155145        9.3398542792555439       -52.655076687724289     
  -3.0346220529761649       -5.5843066043187450        9.2322793172616713       -51.522672378512269     
  -3.0457541492489124       -5.5479957591182405        9.1270367730822421       -50.424072667309972     
  -3.0568140360126379       -5.5120927008979193        9.0240564641352883       -49.357990861143008     
  -3.0678025200525041       -5.4765887709317118        8.9232709004627431       -48.323199886013413     
  -3.0787203910963648       -5.4414755657284930        8.8246151588866617       -47.318528983986141     
  -3.0895684223154181       -5.4067449274407542        8.7280267625500230       -46.342859799652913     
  -3.1003473708061278       -5.3723889347081499        8.6334455733361182       -45.395124992353431     
  -3.1110579780542507       -5.3383998939147137        8.5408136826226055       -44.474304627950545     
  -3.1217009703817866       -5.3047703308397587        8.4500753116389937       -43.579423764095182     
  -3.1322770593776097       -5.2714929826783719        8.3611767175417739       -42.709550479580471     
  -3.1427869423125001       -5.2385607904139597        8.2740661025981765       -41.863793487362244     
  -3.1532313025392655       -5.2059668915254154        8.1886935273667305       -41.041299359001471     
  -3.1636108098786018       -5.1737046130082565        8.1050108356461870       -40.241252857731169     
  -3.1739261209912986       -5.1417674646999645        8.0229715668234114       -39.462871304074554     
  -3.1841778797374016       -5.1101491328883197        7.9425308952552065       -38.705406824046662     
  -3.1943667175228518       -5.0788434741891875        7.8636455523306559       -37.968142185818010     
  -3.2044932536341584       -5.0478445096860947        7.7862737630773893       -37.250389745002721     
  -3.2145580955615962       -5.0171464193107251        7.7103751855434055       -36.551490723013558     
  -3.2245618393114013       -4.9867435364572277        7.6359108490131611       -35.870813180904904     
  -3.2345050697074251       -4.9566303428193459        7.5628430976637517       -35.207750687105133     
  -3.2443883606826787       -4.9268014634369361        7.4911355379403410       -34.561721512504917     
  -3.2542122755611729       -4.8972516619433248        7.4207529865977229       -33.932167353700748     
  -3.2639773673304520       -4.8679758360051784        7.3516614200741515       -33.318551445615796     
  -3.2736841789051936       -4.8389690129422291        7.2838279325804223       -32.720359144366995     
  -3.2833332433822209       -4.8102263455216399        7.2172206871390365       -32.137095568041119     
  -3.2929250842872801       -4.7817431079199002        7.1518088745614605       -31.568284847294233     
  -3.3024602158139005       -4.7535146918398219        7.0875626745348086       -31.013469681262503     
  -3.3119391430546394       -4.7255366027778578        7.0244532174856822       -30.472210837961807     
  -3.3213623622250119       -4.6978044564379706        6.9624525443345853       -29.944085100375158     
  -3.3307303608803913       -4.6703139752818368        6.9015335751321238       -29.428685599519607     
  -3.3400436181261393       -4.6430609852085025        6.8416700741424918       -28.925620704223217     
  -3.3493026048212253       -4.6160414123603832        6.7828366185906930       -28.434513632547009     
  -3.3585077837755808       -4.5892512800496110        6.7250085662995396       -27.955001119517320     
  -3.3676596099414238       -4.5626867057978471        6.6681620299879896       -27.486734083259634     
  -3.3767585305987722       -4.5363438984868942        6.6122738437979223       -27.029375071485617     
  -3.3858049855353713       -4.5102191556125604        6.5573215429770570       -26.582599732538625     
  -3.3947994072212224       -4.4843088606374426        6.5032833356792885       -26.146095816192982     
  -3.4037422209779211       -4.4586094804445198        6.4501380742654213       -25.719560925452356     
  -3.4126338451430005       -4.4331175628785635        6.3978652392049362       -25.302704320662173     
  -3.4214746912294354       -4.4078297343735917        6.3464449142625057       -24.895246170109075     
  -3.4302651640804949       -4.3827426976705830        6.2958577592975296       -24.496914857730090     
  -3.4390056620201177       -4.3578532296116856        6.2460849998280388       -24.107449980714790     
  -3.4476965769989416       -4.3331581790121421        6.1971083974432517       -23.726598769036045     
  -3.4563382947361663       -4.3086544646075975        6.1489102385903216       -23.354118111607036     
  -3.4649311948573720       -4.2843390730705755        6.1014733127029430       -22.989773279524783     
  -3.4734756510284486       -4.2602090570991180        6.0547808925504043       -22.633336482780209     
  -3.4819720310857685       -4.2362615335667098        6.0088167243566026       -22.284588868659583     
  -3.4904206971627154       -4.2124936817357073        5.9635650064282508       -21.943318773143261     
  -3.4988220058127113       -4.1889027415352720        5.9190103718353981       -21.609320249860176     
  -3.5071763081288565       -4.1654860118909287        5.8751378841370716       -21.282396650557089     
  -3.5154839498602750       -4.1422408491141871        5.8319330082379217       -20.962355351539230     
  -3.5237452715253132       -4.1191646653454539        5.7893816104992446       -20.649011833739905     
  -3.5319606085216568       -4.0962549270454618        5.7474699365345217       -20.342186685118335     
  -3.5401302912334951       -4.0735091535395451        5.7061846028272356       -20.041706516593649     
  -3.5482546451358150       -4.0509249156064353        5.6655125847404619       -19.747403989800461     
  -3.5563339908959208       -4.0284998341153511        5.6254412015843691       -19.459116401554510     
  -3.5643686444722764       -4.0062315787058322        5.5859581090667021       -19.176686544275512     
  -3.5723589172107442       -3.9841178665080967        5.5470512884681078       -18.899962789253877     
  -3.5803051159383088       -3.9621564609076954        5.5087090315431020       -18.628797116004847     
  -3.5882075430543749       -3.9403451703469150        5.4709199378555340       -18.363047388225695     
  -3.5960664966196965       -3.9186818471641516        5.4336728981807525       -18.102574939060645     
  -3.6038822704430316       -3.8971643864706973        5.3969570902312469       -17.847245903368503     
